number,czech,selected_files,source,species_or_taxon,rejected_reason,confidence
1,Břečťan,images/001-brectan/01.png | images/001-brectan/02.png | images/001-brectan/03.png,Poznávačka.pptx slide 6,Hedera | Hedera | Hedera,image8.jpg; image10.jpg,high
2,Pryskyřník,images/002-pryskyrnik/01.jpg | images/002-pryskyrnik/02.jpg | images/002-pryskyrnik/03.jpg,Wikimedia Commons curated species search,Ranunculus acris / Ranunculus repens / Ranunculus bulbosus | Ranunculus acris / Ranunculus repens / Ranunculus bulbosus | Ranunculus acris / Ranunculus repens / Ranunculus bulbosus,File:Thricops semicinereus on Ranunculus acris.jpg (known bad term); File:Thricops semicinereus on Ranunculus acris diagonal.jpg (known bad term); File:2020 year. Herbarium. Ranunculus acris. img-009.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-011.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-019.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-006.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-020.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-003.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-010.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-014.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-005.jpg (blocked title term); File:2020 year. Herbarium. Ranunculus acris. img-012.jpg (blocked title term),high
4,Jaterník,images/004-jaternik/01.png | images/004-jaternik/02.png | images/004-jaternik/03.png,Poznávačka.pptx slide 8,Hepatica | Hepatica | Hepatica,image29.png; image23.jpg,high
5,Sasanka,images/005-sasanka/01.jpg | images/005-sasanka/02.jpg | images/005-sasanka/03.png,Poznávačka.pptx slide 7,Anemone | Anemone | Anemone,image11.jpg; image24.jpg,high
6,Koniklec,images/006-koniklec/01.png | images/006-koniklec/02.png | images/006-koniklec/03.png,Poznávačka.pptx slide 4,Pulsatilla | Pulsatilla | Pulsatilla,image4.png; image16.png,high
7,Plamének,images/007-plamenek/01.png | images/007-plamenek/02.png | images/007-plamenek/03.png,Poznávačka.pptx slide 10,Clematis | Clematis | Clematis,image53.png; image42.png,high
8,Blatouch,images/008-blatouch/01.png | images/008-blatouch/02.jpg | images/008-blatouch/03.jpg,Poznávačka.pptx slide 35,Caltha | Caltha | Caltha,image163.jpg; image172.jpg; image174.jpg,high
10,Stulík,images/010-stulik/01.png | images/010-stulik/02.png | images/010-stulik/03.jpg,Poznávačka.pptx slide 15,Nuphar | Nuphar | Nuphar,image76.jpg; image66.png; image54.png,high
11,Leknín,images/011-leknin/01.jpg | images/011-leknin/02.jpg | images/011-leknin/03.jpg,Poznávačka.pptx slide 9,Nymphaea | Nymphaea | Nymphaea,image39.jpg; image32.jpg; image26.jpg,high
12,Rozchodník,images/012-rozchodnik/01.jpg | images/012-rozchodnik/02.jpg | images/012-rozchodnik/03.jpg,Poznávačka.pptx slide 18,Sedum | Sedum | Sedum,image83.jpg; image73.jpg,high
13,Netřesk,images/013-netresk/01.jpg | images/013-netresk/02.jpg | images/013-netresk/03.jpg,Poznávačka.pptx slide 11,Jovibarba / Sempervivum | Jovibarba / Sempervivum | Jovibarba / Sempervivum,image38.jpg; image43.jpg,high
14,Krvavec,images/014-krvavec/01.jpg | images/014-krvavec/02.jpg | images/014-krvavec/03.jpg,Poznávačka.pptx slide 34,Sanguisorba | Sanguisorba | Sanguisorba,image167.jpg,high
15,Kontryhel,images/015-kontryhel/01.jpg | images/015-kontryhel/02.jpg | images/015-kontryhel/03.jpg,Poznávačka.pptx slide 31,Alchemilla | Alchemilla | Alchemilla,image150.jpg; image156.jpg,high
17,Mochna,images/017-mochna/01.jpg | images/017-mochna/02.jpg | images/017-mochna/03.jpg,Poznávačka.pptx slide 20,Potentilla | Potentilla | Potentilla,image94.jpg; image91.jpg,high
18,Kuklík,images/018-kuklik/01.jpg | images/018-kuklik/02.jpg | images/018-kuklik/03.jpg,Poznávačka.pptx slide 21,Geum | Geum | Geum,image101.jpg; image100.jpg,high
19,Jahodník,images/019-jahodnik/01.jpg | images/019-jahodnik/02.jpg | images/019-jahodnik/03.jpg,Poznávačka.pptx slide 14,Fragaria | Fragaria | Fragaria,image59.jpg; image55.jpg,high
20,Tužebník,images/020-tuzebnik/01.jpg | images/020-tuzebnik/02.jpg | images/020-tuzebnik/03.jpg,Poznávačka.pptx slide 22,Filipendula | Filipendula | Filipendula,image106.jpg; image117.jpg; image104.jpg,high
22,Vikev,images/022-vikev/01.jpg | images/022-vikev/02.jpg | images/022-vikev/03.jpg,Poznávačka.pptx slide 23,Vicia | Vicia | Vicia,image110.jpg; image113.jpg; image116.jpg,high
23,Vlčí bob,images/023-vlci-bob/01.jpg | images/023-vlci-bob/02.jpg | images/023-vlci-bob/03.jpg,Poznávačka.pptx slide 24,Lupinus | Lupinus | Lupinus,image123.jpg; image105.jpg; image112.jpg,high
24,Jetel,images/024-jetel/01.jpg | images/024-jetel/02.jpg | images/024-jetel/03.jpg,Poznávačka.pptx slide 16,Trifolium | Trifolium | Trifolium,image64.jpg; image71.jpg; image52.jpg,high
26,Čičorka,images/026-cicorka/01.jpg | images/026-cicorka/02.jpg | images/026-cicorka/03.jpg,Poznávačka.pptx slide 25,Securigera | Securigera | Securigera,image125.jpg; image115.jpg; image131.jpg,high
28,Vrbovka,images/028-vrbovka/01.jpg | images/028-vrbovka/02.jpg | images/028-vrbovka/03.jpg,Poznávačka.pptx slide 26,Epilobium | Epilobium | Epilobium,image128.jpg; image119.jpg,high
29,Mák,images/029-mak/01.jpg | images/029-mak/02.jpg | images/029-mak/03.jpg,Poznávačka.pptx slide 12,Papaver | Papaver | Papaver,image50.jpg; image62.jpg; image41.jpg,high
30,Vlaštovičník,images/030-vlastovicnik/01.jpg | images/030-vlastovicnik/02.jpg | images/030-vlastovicnik/03.jpg,Poznávačka.pptx slide 27,Chelidonium | Chelidonium | Chelidonium,image132.jpg; image136.jpg,high
32,Česnáček,images/032-cesnacek/01.jpg | images/032-cesnacek/02.jpg | images/032-cesnacek/03.jpg,Poznávačka.pptx slide 28,Alliaria | Alliaria | Alliaria,image138.jpg; image134.jpg,high
